,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,name
269,Will,Hughes,0,0,1,1,1,11.8,2,0,0,3,1.4,0,0,0,0,49,MID,Will Hughes
271,Jefferson,Lerma Solís,0,0,9,360,4,79.6,72.8,54,0,60,20.7,1,0,0,0.3,49,MID,Jefferson Lerma Solís
276,Michael,Olise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,59,MID,Michael Olise
279,Jairo,Riedewald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,44,MID,Jairo Riedewald
280,Jeffrey,Schlupp,0,0,9,303,3,78.9,37.6,76,0,30,19.2,1,0,0,0.1,49,MID,Jeffrey Schlupp
285,Matheus,França de Oliveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,MID,Matheus França de Oliveira
286,Jesurun,Rak-Sakyi,0,0,1,7,0,10.8,3,15,0,4,2.9,0,0,0,0,45,MID,Jesurun Rak-Sakyi
288,André,Tavares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,44,MID,André Tavares Gomes
292,Dele,Alli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,MID,Dele Alli
293,Abdoulaye,Doucoure,1,0,14,360,8,86.1,75.6,165,2,44,32.7,0,0,1,0.2,55,MID,Abdoulaye Doucouré
294,James,Garner,0,0,7,336,8,76,40.4,24,0,40,14,0,0,1,0,50,MID,James Garner
295,Jean-Philippe,Gbamin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,MID,Jean-Philippe Gbamin
297,Demarai,Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,53,MID,Demarai Gray
